"No.","Time","Source","Destination","Protocol","Length","Info","Source MAC","Dest MAC","802.11 Type","802.11 Subtype","UDP Length","Frame Length","Hw src addr res","data.data"
"1","0.000000","192.168.43.20","180.76.76.200","TCP","74","47020  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3735835 TSecr=0 WS=256","","","","","","74","LGElectronic_4a:ec:64",""
"2","0.068695","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e0:00:00"
"3","0.070969","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e0:00:00"
"4","0.071753","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e1:00:00"
"5","0.073632","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e1:00:00"
"6","1.005163","192.168.43.20","180.76.76.200","TCP","74","[TCP Retransmission] 47020  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3736137 TSecr=0 WS=256","","","","","","74","LGElectronic_4a:ec:64",""
"7","1.091813","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e0:00:00"
"8","1.148248","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e1:00:00"
"9","1.148335","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e0:00:00"
"10","1.149357","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e1:00:00"
"11","1.775095","fe80::66bc:cff:fe4a:ec64","ff02::2","ICMPv6","70","Router Solicitation from 64:bc:0c:4a:ec:64","","","","","","70","LGElectronic_4a:ec:64",""
"12","1.946574","192.168.43.20","192.168.43.1","UDP","95","22704  >  40611 Len=53","","","","","61","95","LGElectronic_4a:ec:64","f1:d0:00:31:d1:00:00:0a:41:52:54:45:4d:49:53:00:02:00:00:00:04:00:01:00:19:00:00:00:4d:7a:6c:42:33:36:58:2f:49:56:6f:38:5a:7a:49:35:72:47:39:6a:31:77:3d:3d:00"
